SYMBOL,NAME OF COMPANY,SERIES,Unnamed: 8,YahooEquiv,Yahoo_Equivalent_Code
CAMLINFINE,Camlin Fine Sciences Limited,EQ,.NS,CAMLINFINE.NS,"'CAMLINFINE.NS',"
CAMS,Computer Age Management Services Limited,EQ,.NS,CAMS.NS,"'CAMS.NS',"
CANBK,Canara Bank,EQ,.NS,CANBK.NS,"'CANBK.NS',"
CANDC,C & C Constructions Limited,BZ,.NS,CANDC.NS,"'CANDC.NS',"
CANFINHOME,Can Fin Homes Limited,EQ,.NS,CANFINHOME.NS,"'CANFINHOME.NS',"
CANTABIL,Cantabil Retail India Limited,EQ,.NS,CANTABIL.NS,"'CANTABIL.NS',"
CAPACITE,Capacit'e Infraprojects Limited,EQ,.NS,CAPACITE.NS,"'CAPACITE.NS',"
CAPLIPOINT,Caplin Point Laboratories Limited,EQ,.NS,CAPLIPOINT.NS,"'CAPLIPOINT.NS',"
CAPTRUST,Capital Trust Limited,EQ,.NS,CAPTRUST.NS,"'CAPTRUST.NS',"
CARBORUNIV,Carborundum Universal Limited,EQ,.NS,CARBORUNIV.NS,"'CARBORUNIV.NS',"
CARERATING,CARE Ratings Limited,EQ,.NS,CARERATING.NS,"'CARERATING.NS',"
CASTROLIND,Castrol India Limited,EQ,.NS,CASTROLIND.NS,"'CASTROLIND.NS',"
CCHHL,Country Club Hospitality & Holidays Limited,BE,.NS,CCHHL.NS,"'CCHHL.NS',"
CCL,CCL Products (India) Limited,EQ,.NS,CCL.NS,"'CCL.NS',"
CDSL,Central Depository Services (India) Limited,EQ,.NS,CDSL.NS,"'CDSL.NS',"
CEATLTD,CEAT Limited,EQ,.NS,CEATLTD.NS,"'CEATLTD.NS',"
CELEBRITY,Celebrity Fashions Limited,BE,.NS,CELEBRITY.NS,"'CELEBRITY.NS',"
CENTENKA,Century Enka Limited,EQ,.NS,CENTENKA.NS,"'CENTENKA.NS',"
CENTEXT,Century Extrusions Limited,BE,.NS,CENTEXT.NS,"'CENTEXT.NS',"
CENTRALBK,Central Bank of India,EQ,.NS,CENTRALBK.NS,"'CENTRALBK.NS',"
CENTRUM,Centrum Capital Limited,EQ,.NS,CENTRUM.NS,"'CENTRUM.NS',"
CENTUM,Centum Electronics Limited,EQ,.NS,CENTUM.NS,"'CENTUM.NS',"
CENTURYPLY,Century Plyboards (India) Limited,EQ,.NS,CENTURYPLY.NS,"'CENTURYPLY.NS',"
CERA,Cera Sanitaryware Limited,EQ,.NS,CERA.NS,"'CERA.NS',"
CEREBRAINT,Cerebra Integrated Technologies Limited,EQ,.NS,CEREBRAINT.NS,"'CEREBRAINT.NS',"
CESC,CESC Limited,EQ,.NS,CESC.NS,"'CESC.NS',"
CGCL,Capri Global Capital Limited,EQ,.NS,CGCL.NS,"'CGCL.NS',"
CGPOWER,CG Power and Industrial Solutions Limited,EQ,.NS,CGPOWER.NS,"'CGPOWER.NS',"
CHALET,Chalet Hotels Limited,EQ,.NS,CHALET.NS,"'CHALET.NS',"
CHAMBLFERT,Chambal Fertilizers & Chemicals Limited,EQ,.NS,CHAMBLFERT.NS,"'CHAMBLFERT.NS',"
CHEMBOND,Chembond Chemicals Ltd,EQ,.NS,CHEMBOND.NS,"'CHEMBOND.NS',"
